loc,basic_plan,basicplan_without_pass,premium,premium_no_time,teams,teams_no_time,enterprise,enterprise_no_time,trial_end,seven_day_pass_not_activated,seven_day_pass_end,mileage_only,expense_only,expense_only_combo,time_only
Integrations->SAP Concur,,,,,Y,Y,Y,Y,N,N,N,Y,Y,Y,N
Integrations->QuickBooks Online,,,,,Y,Y,Y,Y,N,N,N,Y,Y,Y,N
Integrations->Xero,,,,,Y,Y,Y,Y,N,N,N,Y,Y,Y,N
Integrations->Sage Intacct,,,,,N,N,Y,Y,N,N,N,Y,Y,Y,
Settings->Account Settings,,,,,Y,Y,Y,Y,N,N,N,,Y,Y,
Settings->Components,,,,,Y,Y,Y,Y,N,N,N,,Y,Y,
Settings->Notifications,,,,,Y,Y,Y,Y,N,N,N,,Y,Y,
Settings->Activities,,,,,Y,Y,Y,Y,N,N,N,,Y,Y,
Settings->Mileage Rates,,,,,Y,Y,Y,Y,N,N,N,,N,N,
Settings->Mileage Policies,,,,,N,N,Y,Y,N,N,N,,N,N,
Settings->Time Policies,,,,,Y,N,Y,N,N,N,N,,N,N,
Settings->Tags & Notes,,,,,Y,Y,Y,Y,N,N,N,,Y,Y,
Settings->Custom Tags,,,,,N,N,Y,Y,N,N,N,,N,N,
Settings->Custom Fields,,,,,N,N,Y,Y,N,N,N,,N,N,
Settings->Advanced Settings,,,,,N,N,Y,Y,N,N,N,,N,N,
Mobile Bottom->Trips,,,Y,,Y,Y,Y,Y,N,N,N,Y,N,N,N
Mobile Bottom->Fuel,,,Y,,Y,Y,Y,Y,N,N,N,Y,N,N,N
Mobile Bottom->Submission,,,Y,,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y
Mobile Bottom->Reports,,,Y,,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y
Mobile Bottom->Transactions,,,Y,,Y,Y,Y,Y,N,N,N,N,Y,Y,N
Mobile Bottom->Time,,,Y,,,,Y,N,N,N,N,N,N,N,Y
Mobile Bottom->Schedule,,,Y,,,,Y,N,N,N,N,N,N,N,N
Mobile Bottom->Time off,,,Y,,,,Y,N,N,N,N,N,N,N,N
Mobile Left->Auto Start on,,,Y,,Y,Y,Y,Y,N,N,N,Y,N,N,N
Mobile Left->Work Schedule,,,Y,,Y,Y,Y,Y,N,N,N,Y,N,N,N
Mobile Left->Vehicles,,,Y,,Y,Y,Y,Y,N,N,N,Y,N,N,N
Mobile Left->Send to Concur,,,N,,N,N,N,N,N,N,N,N,N,N,N
Mobile Left->Locations,,,Y,,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y
Mobile Left->State Mileage,,,N,,N,N,Y,Y,N,N,N,Y,N,N,N
Mobile Left->Approval Management,,,N,,N,N,Y,Y,N,N,N,Y,Y,Y,Y
Mobile Left->Submission,,,N,,N,N,Y,Y,N,N,N,Y,Y,Y,Y
Mobile Left->Navigate/Route Planning,,,Y,,Y,Y,Y,Y,N,N,N,Y,N,N,N
Mobile Left->Frequent Trip Rules,,,Y,,Y,Y,Y,Y,N,N,N,Y,N,N,N
Mobile Left->Adjust Odometer,,,Y,,Y,Y,Y,Y,N,N,N,Y,N,N,N
Mobile Left->Mileage Rates,,,Y,,Y,Y,Y,Y,N,N,N,Y,N,N,N
Mobile Left->Business Activities,,,Y,,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y
Mobile Left->Last Known Parking,,,Y,,Y,Y,Y,Y,N,N,N,Y,N,N,N
Mobile Left->Banks & Credit Cards,N,,Y,,Y,Y,Y,Y,N,N,N,N,Y,Y,N
Mobile Left->Invite Accountant,,,Y,,Y,Y,N,N,N,N,N,N,N,N,N
